cls,file,low,high,perc,conf_base,conf_guitar
guitar,00_BN1-129-Eb_comp_mic.wav,0.0221,0.0019,0.3394,0.6022,0.7340
guitar,00_BN1-147-Gb_solo_mic.wav,0.0036,0.0011,0.2916,0.4577,0.6711
guitar,00_BN2-166-Ab_comp_mic.wav,0.0063,0.0031,0.4490,0.6267,0.8745
guitar,00_BN3-119-G_solo_mic.wav,0.0164,0.0078,0.2291,0.8803,0.9014
guitar,00_Funk1-114-Ab_comp_mic.wav,0.0014,0.0092,0.5248,0.8164,0.9834
guitar,00_Funk1-97-C_solo_mic.wav,0.0029,0.0055,0.2783,0.5532,0.7598
guitar,00_Funk2-119-G_comp_mic.wav,0.0003,0.0147,0.4338,0.6872,0.9335
guitar,00_Funk3-112-C#_solo_mic.wav,0.0023,0.0137,0.4241,0.6758,0.6976
guitar,00_Jazz1-130-D_comp_mic.wav,0.0018,0.0080,0.4092,0.7618,0.7980
guitar,00_Jazz1-200-B_solo_mic.wav,0.0150,0.0043,0.3129,0.6230,0.7247
guitar,00_Jazz2-187-F#_comp_mic.wav,0.0037,0.0067,0.6048,0.7392,0.7742
guitar,00_Jazz3-137-Eb_solo_mic.wav,0.0062,0.0065,0.2826,0.6559,0.6698
guitar,00_Rock1-130-A_comp_mic.wav,0.0004,0.0061,0.2690,0.6872,0.9854
guitar,00_Rock1-90-C#_solo_mic.wav,0.0018,0.0137,0.3384,0.6962,0.9243
guitar,00_Rock2-85-F_comp_mic.wav,0.0005,0.0077,0.3442,0.8542,0.9473
guitar,00_Rock3-117-Bb_solo_mic.wav,0.0036,0.0248,0.4450,0.6502,0.3960
guitar,00_SS1-100-C#_comp_mic.wav,0.0026,0.0018,0.2369,0.9334,0.9217
guitar,00_SS1-68-E_solo_mic.wav,0.0017,0.0197,0.2538,0.7931,0.3365
guitar,00_SS2-88-F_comp_mic.wav,0.0060,0.0066,0.3053,0.8374,0.9421
guitar,00_SS3-84-Bb_solo_mic.wav,0.0024,0.0260,0.3435,0.5989,0.7411
guitar,01_BN1-129-Eb_comp_mic.wav,0.0021,0.0015,0.4094,0.9681,0.9883
guitar,01_BN1-147-Gb_solo_mic.wav,0.0040,0.0110,0.4929,0.4195,0.3865
guitar,01_BN2-166-Ab_comp_mic.wav,0.0021,0.0027,0.4057,0.8109,0.9243
guitar,01_BN3-119-G_solo_mic.wav,0.0020,0.0094,0.4142,0.9063,0.4872
guitar,01_Funk1-114-Ab_comp_mic.wav,0.0010,0.0096,0.5567,0.8821,0.4924
guitar,01_Funk1-97-C_solo_mic.wav,0.0022,0.0104,0.5382,0.9803,0.4500
guitar,01_Funk2-119-G_comp_mic.wav,0.0008,0.0047,0.5928,0.7483,0.8527
guitar,01_Funk3-112-C#_solo_mic.wav,0.0017,0.0108,0.5544,0.9168,0.7886
guitar,01_Jazz1-130-D_comp_mic.wav,0.0037,0.0013,0.3175,0.8831,0.9860
guitar,01_Jazz1-200-B_solo_mic.wav,0.0034,0.0121,0.5390,0.7749,0.6055
guitar,01_Jazz2-187-F#_comp_mic.wav,0.0014,0.0053,0.7392,0.6493,0.8162
guitar,01_Jazz3-137-Eb_solo_mic.wav,0.0025,0.0121,0.4044,0.6781,0.5821
guitar,01_Rock1-130-A_comp_mic.wav,0.0005,0.0024,0.3674,0.9424,0.9697
guitar,01_Rock1-90-C#_solo_mic.wav,0.0022,0.0053,0.4508,0.9080,0.7024
guitar,01_Rock2-85-F_comp_mic.wav,0.0009,0.0018,0.3479,0.8495,0.9347
guitar,01_Rock3-117-Bb_solo_mic.wav,0.0023,0.0073,0.4644,0.9402,0.6656
guitar,01_SS1-100-C#_comp_mic.wav,0.0006,0.0041,0.4024,0.9663,0.9898
guitar,01_SS1-68-E_solo_mic.wav,0.0020,0.0167,0.5792,0.9832,0.3060
guitar,01_SS2-88-F_comp_mic.wav,0.0010,0.0018,0.5882,0.8755,0.9188
guitar,01_SS3-84-Bb_solo_mic.wav,0.0024,0.0047,0.4074,0.7281,0.8074
guitar,02_BN1-129-Eb_comp_mic.wav,0.0029,0.0003,0.3016,0.4639,0.7938
guitar,02_BN1-147-Gb_solo_mic.wav,0.0050,0.0009,0.3111,0.6007,0.7317
guitar,02_BN2-166-Ab_comp_mic.wav,0.0017,0.0001,0.2464,0.7009,0.9309
guitar,02_BN3-119-G_solo_mic.wav,0.0008,0.0020,0.4028,0.7089,0.7280
guitar,02_Funk1-114-Ab_comp_mic.wav,0.0008,0.0001,0.3275,0.8094,0.8792
guitar,02_Funk1-97-C_solo_mic.wav,0.0049,0.0061,0.4085,0.4572,0.6785
guitar,02_Funk2-119-G_comp_mic.wav,0.0046,0.0003,0.4036,0.7868,0.8344
guitar,02_Funk3-112-C#_solo_mic.wav,0.0025,0.0028,0.4640,0.7425,0.8023
guitar,02_Jazz1-130-D_comp_mic.wav,0.0025,0.0005,0.3116,0.9644,0.9862
guitar,02_Jazz1-200-B_solo_mic.wav,0.0051,0.0020,0.4824,0.4678,0.4561
guitar,02_Jazz2-187-F#_comp_mic.wav,0.0028,0.0006,0.3110,0.7184,0.8839
guitar,02_Jazz3-137-Eb_solo_mic.wav,0.0053,0.0040,0.4065,0.6067,0.5138
guitar,02_Rock1-130-A_comp_mic.wav,0.0013,0.0004,0.2513,0.9536,0.9859
guitar,02_Rock1-90-C#_solo_mic.wav,0.0039,0.0047,0.3389,0.4978,0.6572
guitar,02_Rock2-85-F_comp_mic.wav,0.0023,0.0005,0.3114,0.8887,0.7907
guitar,02_Rock3-117-Bb_solo_mic.wav,0.0041,0.0016,0.3383,0.4544,0.8251
guitar,02_SS1-100-C#_comp_mic.wav,0.0050,0.0019,0.3237,0.9543,0.9776
guitar,02_SS1-68-E_solo_mic.wav,0.0052,0.0015,0.3039,0.6213,0.7602
guitar,02_SS2-88-F_comp_mic.wav,0.0021,0.0007,0.3544,0.8278,0.8699
guitar,02_SS3-84-Bb_solo_mic.wav,0.0026,0.0031,0.2999,0.6339,0.8405
guitar,03_BN1-129-Eb_comp_mic.wav,0.0101,0.0007,0.3543,0.7300,0.9848
guitar,03_BN1-147-Gb_solo_mic.wav,0.0069,0.0117,0.4724,0.4737,0.3923
guitar,03_BN2-166-Ab_comp_mic.wav,0.0076,0.0005,0.3973,0.5349,0.8858
guitar,03_BN3-119-G_solo_mic.wav,0.0150,0.0067,0.5304,0.7323,0.5956
guitar,03_Funk1-114-Ab_comp_mic.wav,0.0025,0.0069,0.4957,0.3625,0.9730
guitar,03_Funk1-97-C_solo_mic.wav,0.0073,0.0080,0.6087,0.9434,0.7537
guitar,03_Funk2-119-G_comp_mic.wav,0.0055,0.0065,0.4763,0.5644,0.6579
guitar,03_Funk3-112-C#_solo_mic.wav,0.0067,0.0048,0.5371,0.8079,0.7015
guitar,03_Jazz1-130-D_comp_mic.wav,0.0051,0.0008,0.5230,0.6090,0.6332
guitar,03_Jazz1-200-B_solo_mic.wav,0.0110,0.0064,0.5990,0.5439,0.5029
guitar,03_Jazz2-187-F#_comp_mic.wav,0.0063,0.0006,0.4058,0.6283,0.8901
guitar,03_Jazz3-137-Eb_solo_mic.wav,0.0062,0.0040,0.5051,0.3951,0.3853
guitar,03_Rock1-130-A_comp_mic.wav,0.0016,0.0011,0.3229,0.8145,0.9536
guitar,03_Rock1-90-C#_solo_mic.wav,0.0090,0.0161,0.5812,0.8302,0.4762
guitar,03_Rock2-85-F_comp_mic.wav,0.0032,0.0016,0.4094,0.8295,0.9267
guitar,03_Rock3-117-Bb_solo_mic.wav,0.0060,0.0053,0.4176,0.4842,0.4495
guitar,03_SS1-100-C#_comp_mic.wav,0.0024,0.0012,0.3608,0.9818,0.9899
guitar,03_SS1-68-E_solo_mic.wav,0.0077,0.0130,0.4660,0.8842,0.3719
guitar,03_SS2-88-F_comp_mic.wav,0.0052,0.0014,0.3131,0.8060,0.9442
guitar,03_SS3-84-Bb_solo_mic.wav,0.0079,0.0082,0.4307,0.9850,0.7978
guitar,04_BN1-129-Eb_comp_mic.wav,0.0097,0.0018,0.4584,0.7105,0.9820
guitar,04_BN1-147-Gb_solo_mic.wav,0.0110,0.0139,0.4511,0.3687,0.6122
guitar,04_BN2-166-Ab_comp_mic.wav,0.0139,0.0018,0.4808,0.5813,0.8670
guitar,04_BN3-119-G_solo_mic.wav,0.0046,0.0044,0.4006,0.6974,0.7805
guitar,04_Funk1-114-Ab_comp_mic.wav,0.0019,0.0048,0.5510,0.8227,0.6014
guitar,04_Funk1-97-C_solo_mic.wav,0.0076,0.0084,0.5146,0.9718,0.6528
guitar,04_Funk2-119-G_comp_mic.wav,0.0022,0.0117,0.5220,0.7450,0.8191
guitar,04_Funk3-112-C#_solo_mic.wav,0.0098,0.0156,0.4566,0.4665,0.5693
guitar,04_Jazz1-130-D_comp_mic.wav,0.0032,0.0066,0.5906,0.8855,0.8311
guitar,04_Jazz1-200-B_solo_mic.wav,0.0100,0.0123,0.5663,0.4526,0.4374
guitar,04_Jazz2-187-F#_comp_mic.wav,0.0038,0.0015,0.4541,0.5235,0.9222
guitar,04_Jazz3-137-Eb_solo_mic.wav,0.0134,0.0070,0.4745,0.5062,0.6127
guitar,04_Rock1-130-A_comp_mic.wav,0.0005,0.0007,0.3765,0.8933,0.9733
guitar,04_Rock1-90-C#_solo_mic.wav,0.0080,0.0110,0.5293,0.9651,0.7162
guitar,04_Rock2-85-F_comp_mic.wav,0.0044,0.0032,0.2485,0.8593,0.9428
guitar,04_Rock3-117-Bb_solo_mic.wav,0.0045,0.0263,0.4898,0.7477,0.4571
guitar,04_SS1-100-C#_comp_mic.wav,0.0050,0.0038,0.3345,0.9786,0.9896
guitar,04_SS1-68-E_solo_mic.wav,0.0040,0.0229,0.4645,0.5436,0.4660
guitar,04_SS2-88-F_comp_mic.wav,0.0071,0.0048,0.2523,0.5740,0.9002
guitar,04_SS3-84-Bb_solo_mic.wav,0.0078,0.0472,0.5801,0.7280,0.5971
guitar,05_BN1-129-Eb_comp_mic.wav,0.0032,0.0001,0.3032,0.5467,0.7756
guitar,05_BN1-147-Gb_solo_mic.wav,0.0071,0.0022,0.4780,0.9908,0.4756
guitar,05_BN2-166-Ab_comp_mic.wav,0.0026,0.0002,0.3386,0.6413,0.8938
guitar,05_BN3-119-G_solo_mic.wav,0.0014,0.0002,0.3321,0.6974,0.7597
guitar,05_Funk1-114-Ab_comp_mic.wav,0.0010,0.0181,0.5551,0.8265,0.8850
guitar,05_Funk1-97-C_solo_mic.wav,0.0029,0.0409,0.5503,0.9311,0.8166
guitar,05_Funk2-119-G_comp_mic.wav,0.0011,0.0193,0.6706,0.5544,0.7083
guitar,05_Funk3-112-C#_solo_mic.wav,0.0027,0.0257,0.5025,0.9494,0.5854
guitar,05_Jazz1-130-D_comp_mic.wav,0.0015,0.0027,0.6441,0.5435,0.7605
guitar,05_Jazz1-200-B_solo_mic.wav,0.0032,0.0095,0.4846,0.4945,0.6494
guitar,05_Jazz2-187-F#_comp_mic.wav,0.0009,0.0012,0.5127,0.4836,0.7609
guitar,05_Jazz3-137-Eb_solo_mic.wav,0.0044,0.0159,0.4444,0.4954,0.5832
guitar,05_Rock1-130-A_comp_mic.wav,0.0002,0.0035,0.2745,0.7870,0.9757
guitar,05_Rock1-90-C#_solo_mic.wav,0.0046,0.0134,0.5025,0.4843,0.8367
guitar,05_Rock2-85-F_comp_mic.wav,0.0003,0.0029,0.4504,0.8369,0.9284
guitar,05_Rock3-117-Bb_solo_mic.wav,0.0035,0.0370,0.5237,0.9925,0.5948
guitar,05_SS1-100-C#_comp_mic.wav,0.0041,0.0007,0.2045,0.9542,0.9838
guitar,05_SS1-68-E_solo_mic.wav,0.0091,0.0112,0.5018,0.7264,0.5947
